StadiumTrackmanCSV : Sheet1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1/1/2024,35:27.2,1,2,"Hubbell, Carl",4312,Right,NYG,"McCovey, Willie",7363,Left,SFG,Undefined,1,Bottom,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.84653,-3.44694,-2.82926,2085.139,210.0362,1:00,6.20187,1.85795,4.9665,-16.6593,16.46969,8.87453,1.54967,-0.07725,85.47434,-6.54814,-1.26558,0.414262,,,,,,,,,,,,-5.27481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1/1/2024,35:37.5,1,3,"Hubbell, Carl",4312,Right,NYG,"McCovey, Willie",7363,Left,SFG,Undefined,1,Bottom,0,1,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.57141,-1.84541,-3.86101,2222.128,231.4762,1:45,6.1454,2.00924,5.46921,-23.6684,15.44217,17.71934,2.4415,-0.13292,77.84261,-6.26242,-0.71292,0.45011,,,,,,,,,,,,-10.1226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1/1/2024,35:48.2,1,4,"Hubbell, Carl",4312,Right,NYG,"McCovey, Willie",7363,Left,SFG,Undefined,1,Bottom,0,1,2,ChangeUp,Changeup,InPlay,Undefined,Popup,Out,1,0,,85.00711,-1.44532,-2.30746,2121.323,239.772,2:00,6.14115,2.12513,5.36928,-27.6336,12.01816,18.34572,2.48185,1.48933,77.48798,-6.55575,0.953971,0.453213,60.41709,69.88462,-41.8087,,,,,,40.99668,,,-9.92756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1/1/2024,36:15.8,2,1,"Hubbell, Carl",4312,Right,NYG,"Clark, Will",7282,Left,SFG,Undefined,1,Bottom,1,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,87.68981,1.023583,-1.54111,2423.05,101.4558,9:30,6.32448,1.75994,5.09332,-35.9259,1.72,-2.38189,4.29574,0.10875,79.77834,-5.52945,-1.96218,0.441601,,,,,,,,,,,,0.72311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1/1/2024,36:25.2,2,2,"Hubbell, Carl",4312,Right,NYG,"Clark, Will",7282,Left,SFG,Undefined,1,Bottom,1,1,0,Cutter,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,88.01546,0.365191,-1.70591,2377.831,92.15305,9:00,6.26669,1.77E+00,5.25206,-35.6921,1.36925,-4.79114,3.63565,-0.22997,80.3714,-6.14914,-2.55554,0.438159,77.32615,-40.2061,-84.7028,,,,,3.83419,0.29838,-83.4365,0.047362,1.90512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1/1/2024,36:38.6,2,3,"Hubbell, Carl",4312,Right,NYG,"Clark, Will",7282,Left,SFG,Undefined,1,Bottom,1,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.58572,-4.31309,-4.01763,2194.408,195.7014,12:30,6.23062,1.80E+00,5.50497,-14.989,17.14973,4.51099,0.93027,-1.59134,86.11014,-7.13518,-3.21695,0.408024,,,,,,,,,,,,-3.50024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1/1/2024,36:53.7,2,4,"Hubbell, Carl",4312,Right,NYG,"Clark, Will",7282,Left,SFG,Undefined,1,Bottom,1,2,1,ChangeUp,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,87.61279,-2.03009,-4.07279,2248.96,229.0272,1:45,6.161,2.23305,5.09266,-21.746,16.01678,16.99052,2.43001,-0.19579,79.85885,-6.06564,-1.07681,0.442286,,,,,,,,,,,,-9.63619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1/1/2024,37:10.4,2,5,"Hubbell, Carl",4312,Right,NYG,"Clark, Will",7282,Left,SFG,Undefined,1,Bottom,1,2,2,ChangeUp,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,86.09982,-2.26286,-3.44177,2154.548,232.8462,1:45,6.05486,2.10868,5.46419,-24.2569,14.17745,17.06001,1.91066,0.30522,78.79182,-6.76288,-0.40827,0.446202,76.70572,36.1649,-109.521,,,,,,27.58066,,,-9.60375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1/1/2024,37:25.9,2,6,"Hubbell, Carl",4312,Right,NYG,"Clark, Will",7282,Left,SFG,Undefined,1,Bottom,1,2,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.25844,-1.32388,-1.49476,2475.872,83.30692,8:45,6.16149,1.76372,4.90464,-41.8662,-0.08807,-11.5651,1.42002,-0.61393,76.8686,-8.84768,-3.53576,0.465206,,,,,,,,,,,,5.38878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1/1/2024,37:39.0,2,7,"Hubbell, Carl",4312,Right,NYG,"Clark, Will",7282,Left,SFG,Undefined,1,Bottom,1,3,2,Cutter,Cutter,InPlay,Undefined,GroundBall,Single,0,0,,89.18913,-2.74644,-1.75817,2375.967,158.2036,11:15,6.1926,1.78959,5.43023,-27.4713,8.16906,-2.8378,1.32805,-0.09397,82.30646,-7.76726,-2.26343,0.429677,36.82465,-41.547,67.73053,,,,,5.96115,4.985,24.23069,0.054396,0.97921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1/1/2024,38:16.9,3,1,"Hubbell, Carl",4312,Right,NYG,"Mays, Willie",3714,Right,SFG,Undefined,1,Bottom,1,0,0,Cutter,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.16341,-1.70839,-2.38844,2308.79,112.4089,9:45,6.18062,1.8439,5.46709,-33.4708,4.05953,-6.93922,1.79069,-0.97095,79.93992,-7.82037,-3.62378,0.440923,,,,,,,,,,,,2.83394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1/1/2024,38:32.8,3,2,"Hubbell, Carl",4312,Right,NYG,"Mays, Willie",3714,Right,SFG,Undefined,1,Bottom,1,0,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,95.46509,-2.49996,-2.63682,2206.967,183.7341,12:00,6.14211,1.85154,5.65246,-12.6562,18.72844,1.14917,2.7519,-0.51365,86.20533,-4.94065,-2.43188,0.403209,74.71061,31.98629,156.3443,4762.084,,,,,50.85165,,,-1.4113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1/1/2024,38:55.2,3,3,"Hubbell, Carl",4312,Right,NYG,"Mays, Willie",3714,Right,SFG,Undefined,1,Bottom,1,0,2,Cutter,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,88.56317,-1.10686,-1.01243,2416.765,152.872,11:00,6.17315,1.81E+00,5.23515,-28.0818,8.19563,-3.64953,2.79235,0.55351,81.62584,-6.24352,-1.65985,0.4335,66.66288,29.90945,103.0695,5090.572,,,,,110.7583,,,1.57039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1/1/2024,39:32.0,3,4,"Hubbell, Carl",4312,Right,NYG,"Mays, Willie",3714,Right,SFG,Undefined,1,Bottom,1,0,2,Cutter,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,87.03009,-0.58838,-1.19245,2316.23,175.3399,11:45,6.21611,1.86E+00,5.29485,-32.5945,5.28433,-0.32945,2.94735,0.71288,79.40936,-6.56189,-1.25097,0.442965,67.37119,47.46763,161.7686,4371.531,-106.943,53.56008,25.7519,182.0035,72.35535,167.6007,3.304532,-0.18287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1/1/2024,39:57.4,3,5,"Hubbell, Carl",4312,Right,NYG,"Mays, Willie",3714,Right,SFG,Undefined,1,Bottom,1,0,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Triple,0,1,,85.94414,-1.0019,-3.15022,2015.502,242.6895,2:00,6.0585,1.8969,5.52929,-27.6887,10.73024,18.38777,2.81303,0.48145,78.58968,-6.1269,0.124857,0.446112,,,,,,,,,,,,-10.2334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1/1/2024,40:46.5,4,1,"Hubbell, Carl",4312,Right,NYG,"Bonds, Barry",1080,Left,SFG,Undefined,1,Bottom,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.36566,-2.28648,-1.60208,2144.026,217.9221,1:15,6.01471,2.09174,5.71966,-14.6575,16.43698,11.99434,2.66151,1.59859,86.7238,-5.07554,0.543598,0.401341,,,,,,,,,,,,-6.53922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1/1/2024,41:00.9,4,2,"Hubbell, Carl",4312,Right,NYG,"Bonds, Barry",1080,Left,SFG,Undefined,1,Bottom,1,1,0,Cutter,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,89.43364,-2.51093,-2.83091,2332.058,184.8604,12:15,6.15478,1.74583,5.32642,-25.3239,10.25323,0.78138,1.68399,-0.84755,82.50842,-7.14673,-2.6923,0.429296,,,,,,,,,,,,-1.13658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1/1/2024,41:15.4,4,3,"Hubbell, Carl",4312,Right,NYG,"Bonds, Barry",1080,Left,SFG,Undefined,1,Bottom,1,2,0,ChangeUp,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.22104,-1.93284,-4.65176,2032.643,233.8486,1:45,5.97811,2.07568,5.35255,-23.1145,15.67867,19.62131,2.23246,-0.6616,78.31232,-6.2434,-1.17849,0.44828,,,,,,,,,,,,-11.2869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1/1/2024,41:29.2,4,4,"Hubbell, Carl",4312,Right,NYG,"Bonds, Barry",1080,Left,SFG,Undefined,1,Bottom,1,2,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.44775,-0.65059,-3.7351,1987.831,229.5895,1:45,6.07063,2.01738,5.34273,-22.986,15.44426,16.62552,3.54351,-0.10583,78.56894,-4.94169,-0.78905,0.446178,,,,,,,,,,,,-9.34993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1/1/2024,41:44.6,4,5,"Hubbell, Carl",4312,Right,NYG,"Bonds, Barry",1080,Left,SFG,Undefined,1,Bottom,1,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,95.46308,-3.8114,-3.1993,2139.643,210.9231,1:00,6.02998,1.83093,5.14822,-13.4262,18.36107,10.36008,1.31201,-0.32082,87.01226,-6.3461,-1.36913,0.405787,,,,,,,,,,,,-6.15111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1/1/2024,42:33.7,5,1,"Hubbell, Carl",4312,Right,NYG,"Bonds, Bobby",2832,Right,SFG,Undefined,1,Bottom,1,0,0,Cutter,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.63907,-1.01874,-1.70144,2243.37,189.4684,12:15,6.19538,1.85E+00,5.34678,-27.8651,8.21311,1.19161,2.91722,0.35274,81.66518,-6.12824,-1.4897,0.432308,,,,,,,,,,,,-1.0415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1/1/2024,42:50.7,5,2,"Hubbell, Carl",4312,Right,NYG,"Bonds, Bobby",2832,Right,SFG,Undefined,1,Bottom,1,0,1,Cutter,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,89.46327,-1.38508,-2.97299,2280.567,187.9299,12:15,6.12849,1.79E+00,5.34114,-24.8222,10.81631,1.35264,2.75867,-0.88971,82.06401,-5.95713,-2.73313,0.429666,,,,,,,,,,,,-1.48248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1/1/2024,43:07.8,5,3,"Hubbell, Carl",4312,Right,NYG,"Bonds, Bobby",2832,Right,SFG,Undefined,1,Bottom,1,1,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,1,,94.35409,-2.57281,-2.52118,2025.893,205.0501,12:45,6.10057,1.95276,5.94757,-14.6848,16.87395,7.38729,2.48666,0.22848,85.76647,-5.38004,-1.19545,0.404326,94.71507,7.234666,23.94375,4246.09,97.00227,5.78458,51.86994,150.8663,147.1166,30.02668,1.300239,-4.55032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1/1/2024,44:41.8,6,1,"Hubbell, Carl",4312,Right,NYG,"Crawford, Brandon",987,Left,SFG,Undefined,1,Bottom,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.92981,-2.53277,-1.52672,2018.244,216.9372,1:15,6.09456,1.87404,5.6634,-16.0531,15.48729,10.82945,2.39275,1.35257,86.15881,-5.57135,0.408866,0.404208,,,,,,,,,,,,-5.94398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1/1/2024,44:58.1,6,2,"Hubbell, Carl",4312,Right,NYG,"Crawford, Brandon",987,Left,SFG,Undefined,1,Bottom,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.96166,-4.32389,-4.13512,2145.83,206.6854,1:00,6.09052,1.92613,5.57043,-11.0351,20.77596,9.88611,1.11385,-1.11926,86.26194,-6.46019,-2.37863,0.405938,,,,,,,,,,,,-6.29394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1/1/2024,45:28.6,6,3,"Hubbell, Carl",4312,Right,NYG,"Crawford, Brandon",987,Left,SFG,Undefined,1,Bottom,1,2,0,Cutter,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,91.27211,-2.33539,-3.62758,2341.274,181.5021,12:00,6.06282,1.88386,5.25949,-24.4882,9.97906,0.23327,1.82241,-1.50937,83.73084,-6.82319,-3.58633,0.422547,,,,,,,,,,,,-1.12032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1/1/2024,45:48.1,6,4,"Hubbell, Carl",4312,Right,NYG,"Crawford, Brandon",987,Left,SFG,Undefined,1,Bottom,1,3,0,Fastball,Four-Seam,BallinDirt,Walk,Undefined,Undefined,0,0,,94.97773,-4.67731,-3.65582,2130.127,217.9655,1:15,6.04613,1.88631,5.83642,-15.7593,15.75757,11.43729,0.36705,-0.56304,86.35959,-7.6549,-1.60979,0.404057,,,,,,,,,,,,-7.05922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1/1/2024,46:17.3,7,1,"Hubbell, Carl",4312,Right,NYG,"Cepeda, Orlando",2358,Right,SFG,Undefined,1,Bottom,1,0,0,Cutter,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.07031,-2.24726,-1.29834,2342.805,171.5131,11:45,6.1513,1.76986,5.40712,-23.3995,11.0678,-1.48224,2.09422,0.42968,83.13908,-6.57327,-1.5621,0.422547,,,,,,,,,,,,0.37441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1/1/2024,46:31.9,7,2,"Hubbell, Carl",4312,Right,NYG,"Cepeda, Orlando",2358,Right,SFG,Undefined,1,Bottom,1,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,94.8559,-2.97419,-3.29799,2200.546,177.5989,12:00,6.08856,1.77E+00,5.78282,-10.9001,20.75395,-0.82315,2.40606,-1.36584,85.78303,-5.10229,-3.44493,0.404936,,,,,,,,,,,,-0.6015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1/1/2024,46:49.9,7,3,"Hubbell, Carl",4312,Right,NYG,"Cepeda, Orlando",2358,Right,SFG,Undefined,1,Bottom,1,0,2,Cutter,Slider,InPlay,Undefined,FlyBall,Single,0,1,,88.5852,-1.34171,-1.19541,2338.647,167.368,11:30,6.1506,1.78E+00,5.61495,-28.183,7.75945,-1.48756,2.5493,0.53664,81.26508,-6.53896,-1.46119,0.431495,64.04005,33.33105,8.710195,4339.829,107.4288,45.1326,23.64413,196.98,196.98,16.30143,3.574726,0.42815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1/1/2024,49:47.0,8,1,"Welch, Mickey",5112,Right,NYG,"Posey, Buster",1439,Right,SFG,Undefined,1,Bottom,1,0,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,2,,92.3401,-1.36486,-1.70603,2229.282,199.059,12:45,5.72838,1.20618,5.96039,-16.9532,15.60465,5.04764,3.04922,0.0444,84.681,-4.57308,-0.79927,0.410676,97.34763,7.10326,-10.5308,5529.964,107.1803,7.03612,-24.746,165.5677,165.5677,-14.3492,1.35471,-3.05882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1/1/2024,50:34.9,9,1,"Welch, Mickey",5112,Right,NYG,"Sandoval, Pablo",1269,Left,SFG,Undefined,1,Bottom,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.29085,-0.95701,-0.23325,2350.528,195.9119,12:30,5.7274,1.54236,5.86364,-18.5142,14.00406,3.72544,3.29544,1.63613,85.06144,-4.4308,0.435227,0.410426,,,,,,,,,,,,-1.95264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1/1/2024,50:51.5,9,2,"Welch, Mickey",5112,Right,NYG,"Sandoval, Pablo",1269,Left,SFG,Undefined,1,Bottom,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,StolenBase,0,0,,92.58893,-1.1525,-1.73889,2490.783,198.3744,12:30,5.67553,1.45055,5.77446,-17.7741,14.69332,4.56638,3.12131,0.21254,85.26474,-4.48833,-0.92148,0.410105,,,,,,,,,,,,-2.76697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1/1/2024,51:15.5,9,3,"Welch, Mickey",5112,Right,NYG,"Sandoval, Pablo",1269,Left,SFG,Undefined,1,Bottom,1,1,1,Slider,Curveball,BallinDirt,Undefined,Undefined,Undefined,0,0,,80.65803,-1.12976,-1.05551,2821.863,53.6583,7:45,5.71187,1.33222,5.01093,-51.0358,-6.60386,-10.8397,0.39226,-0.56743,74.52758,-10.2823,-2.97586,0.479755,,,,,,,,,,,,5.20548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1/1/2024,51:42.4,9,4,"Welch, Mickey",5112,Right,NYG,"Sandoval, Pablo",1269,Left,SFG,Undefined,1,Bottom,1,3,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,92.69303,-2.32827,-2.9471,2500.665,190.363,12:15,5.58623,1.4117,6.13685,-12.6412,19.77678,3.41969,2.37701,-1.0294,84.37799,-4.78061,-2.33191,0.409793,,,,,,,,,,,,-2.65075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1/1/2024,52:00.8,9,5,"Welch, Mickey",5112,Right,NYG,"Sandoval, Pablo",1269,Left,SFG,Undefined,1,Bottom,1,3,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,1,,93.29869,-1.91509,-1.00722,2611.593,209.3566,1:00,5.61404,1.3299,5.85843,-19.1637,12.9945,6.7313,2.23691,0.95499,85.29129,-5.51288,0.200673,0.408148,100.1958,15.22334,-17.5979,3825.077,101.5062,24.95132,-42.3849,287.1321,277.9425,-29.6796,2.888663,-3.72288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1/1/2024,52:38.0,10,1,"Welch, Mickey",5112,Right,NYG,"McCovey, Willie",7363,Left,SFG,Undefined,1,Bottom,2,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,92.98426,-1.47478,-1.4592,2508.949,212.7457,1:00,5.68886,1.43E+00,5.63095,-20.5891,12.00859,7.06516,2.59636,0.65373,85.11316,-5.31328,-0.1971,0.410927,91.74951,13.15121,-69.5335,3963.863,30.93364,14.08811,-105.561,177.9449,99.53748,-75.8066,1.784745,-3.97906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1/1/2024,53:07.1,10,2,"Welch, Mickey",5112,Right,NYG,"McCovey, Willie",7363,Left,SFG,Undefined,1,Bottom,2,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,81.31254,0.232936,-1.0581,2842.139,61.588,8:00,5.75244,1.17E+00,4.59635,-49.6918,-5.3102,-12.3644,1.83304,-0.86506,74.81035,-8.65436,-3.22821,0.479482,,,,,,,,,,,,5.82874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
